,名字,行业,地区,流通股本,总股本(万),总资产(万),流动资产,固定资产,每股净资,市净率,上市日期,平均利润,价格,平均市盈率
2244,滨江集团,区域地产,浙江,229546.0,270400.0,4144005.5,3829606.0,31114.0,3.12,2.6,20080529,116838.0,6.99,16.0
2718,友邦吊顶,家居用品,浙江,2096.0,8256.0,64321.01,48393.0,9136.0,6.99,8.8,20140128,8398.0,46.6,46.0
300174,元力股份,化工原料,福建,7263.0,13600.0,84683.74,30066.0,33271.0,3.82,8.1,20110201,1223.0,20.97,233.0
533,万 家 乐,家用电器,广东,68490.0,69082.0,402568.97,310113.0,13887.0,1.98,5.3,19940103,12790.0,7.78,42.0
600415,小商品城,商品城,浙江,544321.0,544321.0,3003299.5,1250874.0,517751.0,1.63,6.2,20020509,60782.0,7.01,63.0
2271,东方雨虹,其他建材,北京,56339.0,83069.0,613587.88,413020.0,92759.0,4.53,4.5,20080910,37631.0,14.81,33.0
600388,龙净环保,专用机械,福建,106905.0,106905.0,1290436.0,1115198.0,85961.0,3.17,5.7,20001229,40373.0,13.26,35.0
2765,蓝黛传动,汽车配件,重庆,5200.0,20800.0,149076.91,86909.0,44817.0,4.48,7.2,20150612,7038.0,24.2,72.0
600105,永鼎股份,通信设备,江苏,38095.0,47250.0,326749.53,175548.0,48556.0,4.5,4.9,19970929,11140.0,14.85,63.0
603222,济民制药,化学制药,浙江,4000.0,16000.0,79266.65,49994.0,17373.0,4.43,9.8,20150217,7115.0,28.93,65.0
532,力合股份,元器件,广东,34348.0,34471.0,114861.82,47644.0,16679.0,2.01,12.9,19940103,4229.0,17.2,140.0
415,渤海租赁,多元金融,新疆,311554.0,354861.0,10348623.0,1881402.0,4393242.0,3.09,3.0,19960716,81922.0,7.04,30.0
603169,兰石重装,专用机械,甘肃,38670.0,94585.0,633425.0,389320.0,214864.0,2.02,9.2,20141009,18313.0,14.12,73.0
601992,金隅股份,水泥,北京,311140.0,533889.0,12230892.0,8088826.0,1781728.0,6.59,1.5,20110301,286766.0,7.85,15.0
570,苏常柴Ａ,农用机械,江苏,41137.0,56137.0,334638.34,202257.0,57649.0,3.51,3.3,19940701,6511.0,7.85,68.0
300385,雪浪环境,专用机械,江苏,4791.0,12000.0,132430.19,75764.0,20841.0,5.65,8.7,20140626,5349.0,33.03,74.0
488,晨鸣纸业,造纸,山东,110504.0,193641.0,7200591.0,2920898.0,2394472.0,8.54,1.0,20001120,47896.0,7.09,29.0
600992,贵绳股份,钢加工,贵州,24509.0,24509.0,195515.94,138592.0,30711.0,5.47,3.0,20040514,1902.0,11.86,153.0
2041,登海种业,种植业,山东,87386.0,88000.0,370406.47,303799.0,55989.0,2.34,7.6,20050418,32527.0,14.26,39.0
2186,全 聚 德,酒店餐饮,北京,28076.0,30846.0,186748.31,97384.0,59816.0,4.43,5.4,20071120,12921.0,18.22,43.0
2651,利君股份,专用机械,四川,31280.0,100250.0,248407.05,182447.0,24113.0,1.82,7.4,20120106,28831.0,9.52,33.0
300074,华平股份,通信设备,上海,34271.0,52800.0,114810.22,50487.0,39584.0,1.91,7.8,20100427,7168.0,10.31,76.0
600143,金发科技,塑料,广东,256000.0,256000.0,1425626.0,888411.0,271461.0,3.23,2.7,20040623,67672.0,6.35,24.0
2266,浙富控股,电气设备,浙江,142535.0,197872.0,538056.94,218423.0,51178.0,1.46,5.7,20080806,10679.0,6.38,118.0
600075,新疆天业,化工原料,新疆,43859.0,43859.0,340936.28,188425.0,85495.0,3.57,3.1,19970617,-8267.0,7.99,-42.0
2154,报 喜 鸟,服饰,浙江,106999.0,117202.0,459919.31,206404.0,116296.0,2.44,3.1,20070816,25748.0,5.6,25.0
600596,新安股份,农药化肥,浙江,67918.0,67918.0,783302.0,296977.0,343005.0,6.01,1.7,20010906,20544.0,7.22,24.0
