code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
300279,和晶科技,0.0,0.0,0.0,0.0,0.0,36.37,0.0,0.0,0.0,186.036,8.226,484272.052781,208000.448255
300280,南通锻压,0.0,0.0,0.0,0.0,0.0,23.7,0.0,0.0,0.0,1000.0,4.811,303360.0,113760.0
300306,远方光电,0.0,0.0,0.0,0.0,0.0,18.67,0.0,0.0,0.0,24.893,4.217,448080.0,179374.859106
300313,天山生物,0.0,0.0,0.0,0.0,0.0,17.7,0.0,0.0,0.0,898.477,8.938,330903.27,253883.66169
300323,华灿光电,0.0,0.0,0.0,0.0,0.0,7.8,0.0,0.0,0.0,39.0,2.968,526500.0,526500.0
300324,旋极信息,0.0,0.0,0.0,0.0,0.0,49.25,0.0,0.0,0.0,158.871,29.678,2462416.8069,1362935.590675
300331,苏大维格,0.0,0.0,0.0,0.0,0.0,25.69,0.0,0.0,0.0,285.444,9.764,477834.0,323877.24677
300335,迪森股份,0.0,0.0,0.0,0.0,0.0,16.82,0.0,0.0,0.0,84.1,6.492,609826.16389,396848.025488
300336,新文化,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,66.667,8.86,2257701.894,1745528.4
300340,科恒股份,0.0,0.0,0.0,0.0,0.0,24.35,0.0,0.0,0.0,-50.529,2.863,243500.0,195430.394715
300343,联创股份,0.0,0.0,0.0,0.0,0.0,71.3,0.0,0.0,0.0,891.25,5.327,892208.39321,220780.45
300344,太空板业,0.0,0.0,0.0,0.0,0.0,13.28,0.0,0.0,0.0,-159.233,4.873,320377.344,182627.8548
300349,金卡股份,0.0,0.0,0.0,0.0,0.0,37.75,0.0,0.0,0.0,49.671,7.419,679500.0,526856.753825
300351,永贵电器,0.0,0.0,0.0,0.0,0.0,31.3,0.0,0.0,0.0,42.297,10.158,1055417.22,612303.12
300353,东土科技,0.0,0.0,0.0,0.0,0.0,17.34,0.0,0.0,0.0,146.083,13.813,802591.8705,347255.175
300355,蒙草抗旱,0.0,0.0,0.0,0.0,0.0,17.84,0.0,0.0,0.0,46.947,5.028,836284.102944,437400.14772
300359,全通教育,0.0,70.1,70.65,71.98,67.5,70.1,3809508.0,4.72096,265664473.0,152.391,37.696,1778300.95693,565661.56819
300362,天翔环境,0.0,0.0,0.0,0.0,0.0,57.4,0.0,0.0,0.0,173.519,9.373,589679.26346,274024.156
300365,恒华科技,0.0,0.0,0.0,0.0,0.0,42.87,0.0,0.0,0.0,45.126,13.118,753478.833,245336.436
300366,创意信息,0.0,0.0,0.0,0.0,0.0,77.7,0.0,0.0,0.0,107.917,24.523,1150085.12031,278090.53776
300392,腾信股份,0.0,0.0,0.0,0.0,0.0,31.9,0.0,0.0,0.0,18.547,14.551,1224960.0,512713.55388
300407,凯发电气,0.0,0.0,0.0,0.0,0.0,36.66,0.0,0.0,0.0,26.186,6.43,498576.0,124417.4412
300410,正业科技,0.0,0.0,0.0,0.0,0.0,37.06,0.0,0.0,0.0,57.015,5.523,591273.77,180667.492588
300418,昆仑万维,0.0,33.0,33.2,33.76,31.78,33.0,29208946.0,10.63252,957364011.0,21.29,3.719,3719862.2769,906553.8174
300430,诚益通,0.0,0.0,0.0,0.0,0.0,46.01,0.0,0.0,0.0,40.36,4.718,447585.28,111896.32
300431,暴风科技,0.0,0.0,0.0,0.0,0.0,95.83,0.0,0.0,0.0,203.894,43.563,2634871.561189,632478.0
