代码,名字,行业,地区,市盈率,流通股本,总股本(万),总资产(万),流动资产,固定资产,公积金,每股公积金,每股收益,每股净资,市净率,上市日期,平均利润
705,浙江震元,医药商业,浙江,595.64,28193.03,33412.32,192749.66,119753.72,38401.06,53715.5,1.61,0.022,3.68,4.8,19970410,3698.3333333333335
707,双环科技,化工原料,湖北,292.25,46414.3,46414.57,1055167.13,569634.0,327101.81,73362.18,1.58,0.023,3.09,2.94,19970415,-21509.0
708,大冶特钢,特种钢,湖北,19.96,44940.85,44940.85,487473.59,207104.05,216820.13,48565.34,1.08,0.458,7.64,1.59,19970326,22514.333333333332
709,河北钢铁,普钢,河北,52.41,1061689.13,1061860.75,16957728.0,5301354.0,7809713.0,2320581.5,2.19,0.048,4.1,0.81,19970416,44029.0
710,天兴仪表,汽车配件,四川,0.0,15120.0,15120.0,44012.43,21532.07,6788.2,4631.55,0.31,-0.051,0.81,45.6,19970422,-232.0
711,*ST京蓝,软件服务,黑龙江,0.0,16089.83,16089.83,72379.55,6320.28,5392.6,1507.57,0.09,-3.394,-1.82,-11.68,19970411,-21516.0
712,锦龙股份,多元金融,广东,26.22,84650.0,89600.0,1845552.38,1406534.75,6231.9,71395.25,0.8,0.833,3.59,8.11,19970415,39527.666666666664
713,丰乐种业,种植业,安徽,0.0,29887.35,29887.59,188196.63,101197.68,34910.93,50490.98,1.69,-0.161,4.31,3.1,19970422,2286.3333333333335
715,中兴商业,百货,辽宁,98.83,27854.63,27900.59,219951.59,97748.02,74432.9,31671.73,1.14,0.113,3.98,3.75,19970508,7396.666666666667
716,黑芝麻,食品,广西,54.82,22233.92,31854.22,267401.88,136857.11,69838.17,119939.85,3.77,0.222,5.35,3.03,19970418,5799.0
717,韶钢松山,钢加工,广东,0.0,166952.44,241952.44,1762059.75,360471.03,1327430.38,322707.78,1.33,-0.737,0.48,10.67,19970508,-102337.33333333333
718,苏宁环球,区域地产,吉林,34.55,191049.09,265615.03,2106054.0,2002062.38,17681.73,0.0,0.0,0.28600000000000003,1.97,6.7,19970408,67011.0
719,大地传媒,出版业,河南,27.01,51319.03,78707.97,909995.19,595103.06,114919.4,298630.72,3.79,0.607,7.53,2.9,19970331,46822.0
720,新能泰山,火力发电,山东,83.67,86345.92,86346.0,537676.25,104758.49,354833.03,29602.63,0.34,0.086,1.08,8.87,19970509,6250.0
721,西安饮食,酒店餐饮,陕西,0.0,43562.41,49905.58,109422.47,45360.78,19423.25,5529.6,0.11,-0.023,1.36,6.62,19970430,485.6666666666667
722,湖南发展,水力发电,湖南,61.07,46415.51,46415.82,289129.31,48210.05,172307.34,213774.05,4.61,0.245,5.52,3.61,19970522,15519.666666666666
